,urls,pageviews,users,new_users,returning_users,clean_url
402,https://Home-Page/0xIDW14Y7A41x9IKaWlL2H/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/viewform?embedded=true,3,1,0,1,home-page/0xIDW14Y7A41x9IKaWlL2H/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/docs.google.com/forms/d/e/1FAIpQLScqDRJVOQUGGpZEKSWNei6GIwROSmK8J2n2f4J7dEHAxMmmjg/viewform?embedded=true
404,https://Home/MShareImage?Pictureid=1911c8c620a8,3,2,0,2,home/MShareImage?Pictureid=1911c8c620a8
405,https://Home/mIndex?_we_linker=1*9ib7d7*we_luid*YW1wLWZQdFAwemlXZzhnbS1veWJjZmwtT0E.,3,1,0,1,home/mIndex?_we_linker=1*9ib7d7*we_luid*YW1wLWZQdFAwemlXZzhnbS1veWJjZmwtT0E.
407,https://Industry/heHyiUVLG806xv37Ltfm5M/Reliance-Industries-emerges-sole-contender-to-acquire-stake.html?facet=amp,3,2,0,2,industry/heHyiUVLG806xv37Ltfm5M/Reliance-Industries-emerges-sole-contender-to-acquire-stake.html?facet=amp
413,https://Leisure/rzDZikAcCrjpmuiw8lHEVL/Stories-we-dont-hear.html?facet=amp,3,1,0,1,leisure/rzDZikAcCrjpmuiw8lHEVL/Stories-we-dont-hear.html?facet=amp
416,https://Money/Hs14rr4STCHrZhc9OzS3DM/Palani-Hills-may-lose-unique-banana-varieties-to-virus.html?facet=amp,3,1,0,1,money/Hs14rr4STCHrZhc9OzS3DM/Palani-Hills-may-lose-unique-banana-varieties-to-virus.html?facet=amp
419,https://Money/iQBsfungcPZKA2kVglgm7H/Why-you-should-use-the-RERA-website-before-buying-property.html,3,3,1,2,money/iQBsfungcPZKA2kVglgm7H/Why-you-should-use-the-RERA-website-before-buying-property.html
422,https://Opinion/HziUVKc2XnZxidRD3rjqVL/Rural-income-looking-beyond-agriculture.html,3,3,1,2,opinion/HziUVKc2XnZxidRD3rjqVL/Rural-income-looking-beyond-agriculture.html
427,https://Politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600,3,2,0,2,politics/5HU9KriaUIbYUaPdvdvtsO/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/www.thinglink.com/card/611491258145177600
430,https://Politics/Rn0AWNC5CzHYOmlAum0jTK/Increase-in-floor-area-ratio-for-Delhi-approved.html?facet=amp,3,3,1,2,politics/Rn0AWNC5CzHYOmlAum0jTK/Increase-in-floor-area-ratio-for-Delhi-approved.html?facet=amp
435,https://Search/Link/Keyword/Idbi-Bank-Npa,3,2,0,2,search/Link/Keyword/Idbi-Bank-Npa
437,https://Search/Link/Keyword/housing,3,1,0,1,search/Link/Keyword/housing
438,https://Sundayapp/FU6sreM7t13piRRwkvdKfP/Secularism-and-principled-distance-How-Hinduism-was-nationa.html,3,3,1,2,sundayapp/FU6sreM7t13piRRwkvdKfP/Secularism-and-principled-distance-How-Hinduism-was-nationa.html
439,https://Technology/mvpdtX5SVUAHeClRAtBfuJ/PostCES-19-Will-gaming-laptops-finally-interest-progamer.html?facet=amp,3,3,1,2,technology/mvpdtX5SVUAHeClRAtBfuJ/PostCES-19-Will-gaming-laptops-finally-interest-progamer.html?facet=amp
444,https://companies/news/ael-plans-50-000-cr-capital-expenditure-over-five-years/amp-11604539879474.html,3,3,1,2,https://companies/news/ael-plans-50-000-cr-capital-expenditure-over-five-years/amp
451,https://companies/news/oyo-plans-to-reinstate-employee-salaries-in-a-phased-manner/amp-11596562966934.html,3,3,1,2,https://companies/news/oyo-plans-to-reinstate-employee-salaries-in-a-phased-manner/amp
453,https://companies/news/sony-viacom18-deal-by-mid-aug-11595980721928.html,3,3,0,3,https://companies/news/sony-viacom18-deal-by-mid-aug
454,https://companies/news/the-pill-economy-of-india-s-online-medicos-11572794132893.html,3,2,0,2,https://companies/news/the-pill-economy-of-india-s-online-medicos
455,https://companies/news/what-makes-jio-platforms-command-a-rs-5-trillion-valuation/amp-11588736360741.html,3,3,0,3,https://companies/news/what-makes-jio-platforms-command-a-rs-5-trillion-valuation/amp
456,https://companies/people/arvind-fashion-appoints-shailesh-chaturvedi-as-md-and-ceo-11605181074520.html,3,3,1,2,https://companies/people/arvind-fashion-appoints-shailesh-chaturvedi-as-md-and-ceo
457,https://companies/people/simple-man-of-simple-tastes-leads-disciplined-not-lavish-lifestyle-anil-ambani/amp-11601103098906.html,3,3,0,3,https://companies/people/simple-man-of-simple-tastes-leads-disciplined-not-lavish-lifestyle-anil-ambani/amp
458,https://companies/start-ups/for-nykaa-fashion-is-the-next-biggest-frontier/amp-11597405792384.html,3,3,0,3,https://companies/start-ups/for-nykaa-fashion-is-the-next-biggest-frontier/amp
460,https://education/news/mbbs-fees-in-medical-colleges-raised-in-haryana-from-rs-50-000-to-rs-10-lakh-per-year-11605139064519.html?fbclid=IwAR3PNdsXpiaDeN3WHkBgIwcvKKfJrBh-Kpin-RvaC8Nu_RhRHzXSZMilRAo,3,1,0,1,https://education/news/mbbs-fees-in-medical-colleges-raised-in-haryana-from-rs-50-000-to-rs-10-lakh-per-year-11605139064519.html?fbclid=IwAR3PNdsXpiaDeN3WHkBgIwcvKKfJrBh-Kpin-RvaC8Nu_RhRHzXSZMilRAo
461,https://https://www.livemint.com/photos/apple-event-highlights-in-pictures-1568143993788-3.html,3,2,0,2,https/www.livemint.com/photos/apple-event-highlights-in-pictures-1568143993788-3.html
462,https://industry/banking/central-bank-of-india-net-loss-narrows-to-rs-1-529-crore-in-q4/amp-11593430836570.html,3,3,1,2,https://industry/banking/central-bank-of-india-net-loss-narrows-to-rs-1-529-crore-in-q4/amp
463,https://industry/banking/page-8,3,2,0,2,industry/banking/page-8
464,https://industry/banking/treasury-income-to-support-banks-profitability-in-fiscal-2021-11592915824535.html,3,2,0,2,https://industry/banking/treasury-income-to-support-banks-profitability-in-fiscal-2021
465,https://industry/human-resource/sail-new-pension-scheme-current-former-employees/amp-1556684788108.html,3,3,1,2,industry/human-resource/sail-new-pension-scheme-current-former-employees/amp-1556684788108.html
466,https://industry/manufacturing/page-2,3,3,0,3,industry/manufacturing/page-2
467,https://industry/retail/amazon-india-expands-grocery-offering-to-new-cities-11604569151145.html,3,3,0,3,https://industry/retail/amazon-india-expands-grocery-offering-to-new-cities
469,https://insurance/news/test-story-budget-highlights-11579067382744.html,3,1,0,1,https://insurance/news/test-story-budget-highlights
470,https://market/commodities/gold-prices-today-rise-for-3rd-day-but-still-down-rs-5000-from-record-highs-11603249753696.html,3,2,0,2,https://market/commodities/gold-prices-today-rise-for-3rd-day-but-still-down-rs-5000-from-record-highs
471,https://market/mark-to-market/ambuja-cement-s-capacity-constraint-to-ease-but-cash-flow-may-become-a-concern-11603426062721.html,3,3,1,2,https://market/mark-to-market/ambuja-cement-s-capacity-constraint-to-ease-but-cash-flow-may-become-a-concern
472,https://market/mark-to-market/paints-margins-to-shine-as-crude-price-eases-volume-recovery-may-take-time/amp-1560273014136.html,3,1,0,1,market/mark-to-market/paints-margins-to-shine-as-crude-price-eases-volume-recovery-may-take-time/amp-1560273014136.html
473,https://market/market-stats/company-bse-tata-steel-ltd-100470,3,1,0,1,market/market-stats/company-bse-tata-steel-ltd-100470
474,https://market/stock-market-news/hindalco-up-3-after-novelis-closes-sale-of-former-aleris-plant-in-belgium-11601891837016.html,3,2,0,2,https://market/stock-market-news/hindalco-up-3-after-novelis-closes-sale-of-former-aleris-plant-in-belgium
477,https://mint-lounge/business-of-life/why-some-ceos-don-t-care-about-mbas-11578497893474.html,3,1,0,1,https://mint-lounge/business-of-life/why-some-ceos-don-t-care-about-mbas
479,https://mint-lounge/features/opinion-netflix-hotstar-or-amazon-1549603427357.html,3,1,0,1,mint-lounge/features/opinion-netflix-hotstar-or-amazon-1549603427357.html
483,https://money/personal-finance/gap-between-bank-fixed-deposits-and-small-savings-schemes-widens-11601531543278.html,3,3,1,2,https://money/personal-finance/gap-between-bank-fixed-deposits-and-small-savings-schemes-widens
487,https://money/personal-finance/sebi-bans-upfront-distributor-commissions-in-pms-introduces-direct-plans/amp-11581654805922.html,3,3,0,3,https://money/personal-finance/sebi-bans-upfront-distributor-commissions-in-pms-introduces-direct-plans/amp
488,https://money/personal-finance/three-regulation-changes-that-make-mutual-funds-safer-11602606084418.html,3,3,1,2,https://money/personal-finance/three-regulation-changes-that-make-mutual-funds-safer
489,https://mutual-fund/mf-news/bharat-bond-etf-10-things-to-know-about-india-s-first-corporate-bond-etf/amp-11575456164892.html,3,3,0,3,https://mutual-fund/mf-news/bharat-bond-etf-10-things-to-know-about-india-s-first-corporate-bond-etf/amp
492,https://news/india/air-india-express-flight-with-180-passengers-skids-on-runway-at-kozhikode-airport-11596813128851.html,3,3,0,3,https://news/india/air-india-express-flight-with-180-passengers-skids-on-runway-at-kozhikode-airport
493,https://news/india/babri-masjid-demolition-case-all-32-accused-including-lk-advani-acquitted-11601441403657.html,3,2,0,2,https://news/india/babri-masjid-demolition-case-all-32-accused-including-lk-advani-acquitted
494,https://news/india/centre-raises-excise-duty-on-petrol-by-rs-10-per-litre-and-on-diesel-by-rs-13-11588701701672.html,3,2,0,2,https://news/india/centre-raises-excise-duty-on-petrol-by-rs-10-per-litre-and-on-diesel-by-rs-13
496,https://news/india/covid-19-pm-modi-reviews-situation-with-cms-of-states-with-high-caseload/amp-11600866975964.html,3,3,1,2,https://news/india/covid-19-pm-modi-reviews-situation-with-cms-of-states-with-high-caseload/amp
499,https://news/india/frauds-rise-as-india-s-economy-slows-11575957308723.html,3,3,0,3,https://news/india/frauds-rise-as-india-s-economy-slows
